Rank, Step, AllReduce Time (ms), Step Time (ms)
   0,    1,  204.26025390625   , 1256.80029296875
   0,    2,  204.8573455810547 , 1262.054931640625
   0,    3,  204.28594970703125, 1299.7059326171875
   0,    4,  222.5161895751953 , 1317.6788330078125
   0,    5,  204.5050811767578 , 1274.1895751953125
   1,    1,  216.74598693847656, 1246.539794921875
   1,    2,  254.63107299804688, 1274.1689453125
   1,    3,  206.1967315673828 , 1254.16455078125
   1,    4,  204.20407104492188, 1288.962158203125
   1,    5,  222.9259490966797 , 1301.8909912109375
