backend, world_size, message_bytes, message_mb, iter_max_mean_ms, iter_max_median_ms, throughput_gbps, avg_of_rank_means_ms, median_of_rank_medians_ms, ref_link_gbps
nccl   ,          2,       1048576,        1.0,            3.828,              4.021,           0.274,                1.993,                     2.089, 
nccl   ,          2,      10485760,       10.0,            4.76 ,              4.889,           2.203,                2.896,                     2.959, 
nccl   ,          2,     104857600,      100.0,           13.437,             13.599,           7.804,               11.579,                    11.665, 
nccl   ,          2,    1073741824,     1024.0,          101.517,            102.085,          10.577,               99.73 ,                    99.744, 
nccl   ,          4,       1048576,        1.0,           11.551,             12.092,           0.136,                5.917,                     5.644, 
nccl   ,          4,      10485760,       10.0,           13.505,             13.785,           1.165,                7.876,                     8.094, 
nccl   ,          4,     104857600,      100.0,           31.707,             32.23 ,           4.961,               26.134,                    25.145, 
nccl   ,          4,    1073741824,     1024.0,          222.264,            222.891,           7.246,              216.908,                   216.654, 
nccl   ,          8,       1048576,        1.0,           27.639,             27.165,           0.066,               14.771,                    15.321, 
nccl   ,          8,      10485760,       10.0,           29.579,             28.94 ,           0.62 ,               16.676,                    16.982, 
nccl   ,          8,     104857600,      100.0,           51.041,             50.764,           3.595,               38.032,                    38.942, 
nccl   ,          8,    1073741824,     1024.0,          270.163,            269.398,           6.955,              257.283,                   258.006, 
