Rank, Step, AllReduce Time (ms), Step Time (ms)
   0,    1,  209.31993103027344, 1278.3670654296875
   0,    2,  204.3494415283203 , 1348.3045654296875
   0,    3,  204.87167358398438, 1311.94287109375
   0,    4,  204.4969024658203 , 1329.881591796875
   0,    5,  204.4929962158203 , 1284.421630859375
   1,    1,  204.337158203125  , 1252.2867431640625
   1,    2,  300.9270935058594 , 1332.5150146484375
   1,    3,  263.93804931640625, 1393.53955078125
   1,    4,  207.93228149414062, 1243.9627685546875
   1,    5,  271.30633544921875, 1330.8819580078125
