Rank, Step, AllReduce Time (ms), Step Time (ms)
   0,    1,  204.3050537109375 , 1249.2509765625
   0,    2,  204.21221923828125, 1245.1876220703125
   0,    3,  213.44613647460938, 1255.962646484375
   0,    4,  204.2110137939453 , 1251.0963134765625
   0,    5,  204.30313110351562, 1278.6181640625
   1,    1,  235.8681640625    , 1254.22802734375
   1,    2,  213.3297576904297 , 1225.331787109375
   1,    3,  203.8620147705078 , 1234.5931396484375
   1,    4,  213.0575408935547 , 1238.55224609375
   1,    5,  306.28729248046875, 1318.187255859375
